Chris Daukaus                       wiki: Chris Daukaus | fights: 19
Junior Tafa                         wiki: Junior Tafa | fights: 13
Justin Tafa                         wiki: Justin Tafa | fights: 12
Josh Hokit                          wiki: Josh Hokit | fights: 9
Mick Parkin                         wiki: Mick Parkin | fights: 10
Iwo Baraniewski                     wiki: Iwo Baraniewski | fights: 8
Tom Aspinall                        wiki: Tom Aspinall | fights: 19
Guilherme Pat                       wiki: NOT FOUND | fights: 0
Mario Pinto                         wiki: NOT FOUND | fights: 0
Louie Sutherland                    wiki: NOT FOUND | fights: 0
Allen Frye                          wiki: NOT FOUND | fights: 0
Steven Asplund                      wiki: NOT FOUND | fights: 0
Thomas Petersen                     wiki: NOT FOUND | fights: 0
Sean Sharaf                         wiki: NOT FOUND | fights: 0
Denzel Freeman                      wiki: NOT FOUND | fights: 0
Bill Algeo                          wiki: Bill Algeo | fights: 26
Herbert Burns                       wiki: Herbert Burns | fights: 17
Dooho Choi                          wiki: NOT FOUND | fights: 0
Daniel Santos                       wiki: Daniel Santos (fighter) | fights: 16
Chepe Mariscal                      wiki: NOT FOUND | fights: 0
Zubaira Tukhugov                    wiki: Zubaira Tukhugov | fights: 27
Billy Quarantillo                   wiki: Billy Quarantillo | fights: 24
Lucas Almeida                       wiki: Jailton Almeida | fights: 26
Julian Erosa                        wiki: Julian Erosa | fights: 48
Ricky Turcios                       wiki: NOT FOUND | fights: 0
Francis Marshall                    wiki: NOT FOUND | fights: 0
Harry Hardwick                      wiki: NOT FOUND | fights: 0
Marcio Barbosa                      wiki: Lucas Barbosa (martial artist) | fights: 4
Zhu Kangjie                         wiki: NOT FOUND | fights: 0
Jose Mauro Delano                   wiki: NOT FOUND | fights: 0
Lerryan Douglas                     wiki: NOT FOUND | fights: 0
Kai Kamaka III                      wiki: Kai Kamaka III | fights: 25
Tommy McMillen                      wiki: NOT FOUND | fights: 0
Murtazali Magomedov                 wiki: NOT FOUND | fights: 0
Mandel Nallo                        wiki: NOT FOUND | fights: 0
Marwan Rahiki                       wiki: NOT FOUND | fights: 0
Alberto Montes                      wiki: NOT FOUND | fights: 0
Kyler Phillips                      wiki: Kyler Phillips | fights: 16
Cole Howarth                        wiki: NOT FOUND | fights: 0
Natan Levy                          wiki: Natan Levy | fights: 10
Marcus McGhee                       wiki: Marcus McGhee | fights: 12
Victor Henry                        wiki: Victor Henry (fighter) | fights: 33
Luan Lacerda                        wiki: NOT FOUND | fights: 0
Hecher Sosa                         wiki: NOT FOUND | fights: 0
John Castaneda                      wiki: John Castañeda | fights: 30
Mark Vologdin                       wiki: NOT FOUND | fights: 0
Louis Jourdain                      wiki: Charles Jourdain | fights: 26
Adrian Yanez                        wiki: Adrian Yañez | fights: 23
Joao Benhavia                       wiki: NOT FOUND | fights: 0
Cody Chovancek                      wiki: NOT FOUND | fights: 0
Louis Lee Scott                     wiki: NOT FOUND | fights: 0
Adrián Luna Martinetti              wiki: NOT FOUND | fights: 0
Juan Diaz                           wiki: NOT FOUND | fights: 0
Sumudaerji                          wiki: NOT FOUND | fights: 0
Carlos Candelario                   wiki: NOT FOUND | fights: 0
Namsrai Batbayar                    wiki: NOT FOUND | fights: 0
Luana Pinheiro                      wiki: Luana Pinheiro | fights: 16
Shanelle Dyer                       wiki: NOT FOUND | fights: 0
Nora Cornolle                       wiki: Nora Cornolle | fights: 13
Jakub Wiklacz                       wiki: NOT FOUND | fights: 0
Raul Rosas Jr.                      wiki: Raul Rosas Jr. | fights: 12
Charles Jourdain                    wiki: Charles Jourdain | fights: 26
Elijah Smith                        wiki: NOT FOUND | fights: 0
Cody Garbrandt                      wiki: Cody Garbrandt | fights: 22
Daniel Marcos                       wiki: Daniel Marcos | fights: 20
Jean Matsumoto                      wiki: NOT FOUND | fights: 0
Davey Grant                         wiki: Davey Grant | fights: 26
Felipe Lima                         wiki: Felipe Lima (fighter) | fights: 15
Pedro Munhoz                        wiki: Pedro Munhoz | fights: 31
Kai Asakura                         wiki: Kai Asakura | fights: 27
Brady Hiestand                      wiki: NOT FOUND | fights: 0
Muin Gafurov                        wiki: NOT FOUND | fights: 0
Bryce Mitchell                      wiki: Bryce Mitchell | fights: 22
Bekzat Almakhan                     wiki: Bekzat Almakhan | fights: 14
Cameron Smotherman                  wiki: NOT FOUND | fights: 0
Malcolm Wellmaker                   wiki: NOT FOUND | fights: 0
Kai Kara-France                     wiki: Kai Kara-France | fights: 38
Lone'er Kavanagh                    wiki: Lone'er Kavanagh | fights: 11
Allan Nascimento                    wiki: NOT FOUND | fights: 0
Rafael Estevam                      wiki: NOT FOUND | fights: 0
Andre Lima                          wiki: André Lima (fighter) | fights: 10
Rei Tsuruya                         wiki: NOT FOUND | fights: 0
Alden Coria                         wiki: NOT FOUND | fights: 0
Imanol Rodriguez                    wiki: NOT FOUND | fights: 0
Nyamjargal Tumendemberel            wiki: NOT FOUND | fights: 0
Lucas Rocha                         wiki: NOT FOUND | fights: 0
Alibi Idiris                        wiki: NOT FOUND | fights: 0
Edgar Chairez                       wiki: Édgar Cháirez | fights: 21
DongHun Choi                        wiki: NOT FOUND | fights: 0
Alessandro Costa                    wiki: NOT FOUND | fights: 0
HyunSung Park                       wiki: NOT FOUND | fights: 0
Jafel Filho                         wiki: NOT FOUND | fights: 0
Mitch Raposo                        wiki: NOT FOUND | fights: 0
Jesus Aguilar                       wiki: NOT FOUND | fights: 0
Ronaldo Rodriguez                   wiki: Ronaldo Rodríguez | fights: 20
Daniel Barez                        wiki: NOT FOUND | fights: 0
Kevin Borjas                        wiki: NOT FOUND | fights: 0
Luis Gurule                         wiki: NOT FOUND | fights: 0
